index_label,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,CBM-up,VBM-up,CBM-down,VBM-down
132,InGaS2+InGaSe2-2,1.792,Indirect,3.845,0.0941,0.5512,0.4282,0.2598,5,-4.6071165,-6.3986165,-4.6110107,-6.4025107
133,InGaS2+TeGaAlSe,0.076,Direct,3.853,0.3034,0.3584,0.4439,0.2276,6,-4.6906379,-4.7668379,-4.6815653,-4.7577653
134,InGaS2+SGaAlSe-3,2.442,Indirect,3.727,0.3133,0.0233,0.242,0.3749,5,-3.7827445,-6.2244445,-3.8949952,-6.3366952
135,InAlTe2+SeInAlTe,1.697,Indirect,4.15,0.0115,0.3291,0.4853,0.1093,2,-4.4996029,-6.1968029,-3.1331194,-4.8303194
136,InAlTe2+SeInGaTe,1.666,Indirect,4.161,0.4789,0.1277,0.4992,0.1509,6,-4.2201715,-5.8860715,-3.2055022,-4.8714022
137,InAlTe2+TeGaAlSe,1.76,Direct,4.084,0.4453,0.0265,0.0008,0.6776,2,-3.9433293,-5.7033293,-3.2082098,-4.9682098
138,InAlTe2+SGaAlTe-1,0.842,Direct,4.055,0.5599,0.0159,0.001,0.6806,2,-3.8070501,-4.6495501,-3.8419287,-4.6844287
139,InGaS2+TeInGaSe,0.428,Direct,3.921,0.6964,0,0.6982,0,1,-4.6080732,-5.0357732,-4.6477715,-5.0754715
140,InGaS2+SGaAlTe-1,1.76,Direct,3.817,0.0852,0.5512,0.5693,0,2,-3.8291834,-5.5889834,-3.9002249,-5.6600249
141,InAlTe2+SeGaAlTe-2,1.467,Direct,4.092,0.5446,0.0534,0,0.6788,2,-4.3473554,-5.8146554,-4.0428232,-5.5101232
142,InAlTe2+SeInGaS,-0.312,Direct,4.044,0.013,0.6668,0.5866,0.042,3,-4.9538494,-4.6420494,-4.8948055,-4.5830055
143,InGaS2+SeInGaTe-1,1.311,Direct,3.937,0.1062,0.5537,0.6789,0,2,-4.4353741,-5.7464741,-4.4948656,-5.8059656
144,InGaS2+SeGaAlS,1.986,Indirect,3.725,0.0294,0.6107,0.5269,0.0563,2,-4.6104064,-6.5961064,-3.7691405,-5.7548405
145,InGaS2+SGaAlSe-2,2.246,Indirect,3.724,0.0473,0.5914,0.4954,0.0892,2,-4.5273279,-6.7730279,-4.1922996,-6.4379996
146,InAlTe2+SeGaAlTe,1.757,Indirect,4.09,0.5154,0.0796,0.4983,0.0816,1,-3.7596172,-5.5170172,-3.6435172,-5.4009172
147,InAlTe2+InGaS2-1,-0.077,Direct,4.001,0.0505,0.6326,0.5093,0.1469,3,-4.8038218,-4.7266218,-4.7290231,-4.6518231
148,InAlTe2+InGaTe2,1.548,Direct,4.233,0.4213,0.1578,0.3981,0.2108,6,-3.627418,-5.175318,-3.5655474,-5.1134474
149,InGaS2+TeGaAlSe-2,0.693,Direct,3.857,0.0534,0.5846,0.6894,0,2,-4.5525648,-5.2453648,-4.5713077,-5.2641077
150,InGaS2+SInAlSe,1.778,Indirect,3.796,0.0485,0.5955,0.5156,0.0923,2,-4.8062688,-6.5847688,-4.6775794,-6.4560794
