,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,form-energy,,
158,GaAlS2+GaAlTe2-3,0.837,Direct,3.857,0.0269,0.5306,0.6888,0.0002,2,0.42982347,,
159,GaAlS2+In2SeTe,-0.001,Indirect,3.895,0.2258,0.3854,0.7009,0,3,0.6106758,,
160,GaAlS2+In2SeTe-1,-0.046,Indirect,3.902,0.6945,0.0037,0.7011,0.0004,3,0.60407808,,
161,GaAlS2+In2SeTe-2,0.341,Direct,3.897,0.0877,0.4837,0.7019,0,2,0.62389871,,
162,GaAlS2+In2SeTe-3,0.172,Direct,3.896,0.0504,0.5119,0.7008,0.0002,2,0.62132295,,
163,GaAlS2+In2SSe,1.458,Direct,3.786,0.1293,0.4465,0.7368,0,5,0.17126929,,
164,GaAlS2+In2SSe-1,1.251,Direct,3.784,0.0767,0.4957,0.7363,0.001,2,0.16208731,,
165,GaAlS2+In2SSe-2,1.348,Indirect,3.783,0.468,0.1322,0.0378,0.5479,5,0.17871278,,
166,GaAlS2+In2SSe-3,1.471,Indirect,3.784,0.3465,0.2424,0.0651,0.527,5,0.17049337,,
167,GaAlS2+In2STe,0.001,Direct,3.862,0.0878,0.4877,0.7044,0,2,0.45561371,,
168,GaAlS2+In2STe-1,-0.05,Indirect,3.86,0.1391,0.4602,0.7054,0.0004,3,0.43690338,,
169,GaAlS2+In2STe-2,0.47,Direct,3.857,0.3466,0.2535,0.7061,0,5,0.46257885,,
170,GaAlS2+In2STe-3,0.127,Direct,3.857,0.0828,0.4816,0.7046,0.0002,2,0.45395799,,
171,GaAlS2+InAlS2,1.118,Indirect,3.66,0.0059,0.2736,0.7206,0,2,-0.12130472,,
172,GaAlS2+InAlS2-1,1.419,Indirect,3.657,0.3005,0.0048,0.1297,0.463,5,-0.13521825,,
173,GaAlS2+InAlS2-2,1.62,Indirect,3.658,0.1884,0.0993,0.7214,0,5,-0.11850992,,
174,GaAlS2+InAlS2-3,0.805,Indirect,3.657,0.302,0.0029,0.0326,0.5424,2,-0.12942234,,
175,GaAlS2+InAlSe2,0.321,Indirect,3.743,0.0061,0.2612,0.7393,0,2,0.04990784,,
176,GaAlS2+InAlSe2-1,1.181,Indirect,3.745,0.0346,0.2412,0.7387,0.0009,2,0.03885228,,
177,GaAlS2+InAlSe2-2,1.041,Indirect,3.745,0.0633,0.2099,0.7393,0,5,0.05445671,,
178,GaAlS2+InAlSe2-3,1.245,Indirect,3.744,0.3347,0.0099,0.0648,0.5224,2,0.0496935,,
179,GaAlS2+InAlTe2,-0.115,Indirect,3.908,0.6915,0,0.6954,0,3,0.63403275,,
180,GaAlS2+InAlTe2-1,-0.056,Indirect,3.907,0.203,0.4083,0.6979,0.0005,3,0.64700424,,
181,GaAlS2+InAlTe2-2,-0.018,Indirect,3.909,0.6951,0.0011,0.6972,0,3,0.66482478,,
182,GaAlS2+InAlTe2-3,0.156,Direct,3.907,0.0287,0.5297,0.6972,0.0002,2,0.66865743,,
183,GaAlS2+InGaS2,1.594,Indirect,3.672,0.0213,0.2641,0.4137,0.2287,5,-0.11118263,,
184,GaAlS2+InGaS2-1,1.781,Indirect,3.673,0.0231,0.2645,0.1989,0.4133,5,-0.11532151,,
185,GaAlS2+InGaS2-2,1.651,Indirect,3.672,0.5975,0.0416,0.076,0.5094,2,-0.10531171,,
186,GaAlS2+InGaS2-3,1.317,Indirect,3.673,0.6081,0.0298,0.0455,0.5367,2,-0.1077328,,
187,GaAlS2+InGaSe2,0.848,Indirect,3.757,0.0176,0.2566,0.7398,0,2,0.07258833,,
188,GaAlS2+InGaSe2-1,1.254,Indirect,3.757,0.0179,0.2576,0.7395,0.001,2,0.07086325,,
189,GaAlS2+InGaSe2-2,1.477,Indirect,3.757,0.1955,0.1636,0.74,0,5,0.0801816,,
190,GaAlS2+InGaSe2-3,1.517,Indirect,3.757,0.4858,0.1239,0.0794,0.5159,5,0.08011586,,
191,GaAlS2+InGaTe2,-0.113,Indirect,3.915,0.6929,0.0009,0.6977,0,3,0.66560308,,
192,GaAlS2+InGaTe2-1,-0.038,Indirect,3.918,0.1819,0.4281,0.6982,0.0004,3,0.67006996,,
193,GaAlS2+InGaTe2-2,0.001,Direct,3.916,0.698,0.0006,0.0449,0.5192,2,0.68738751,,
194,GaAlS2+InGaTe2-3,0.247,Direct,3.915,0.0388,0.5246,0.6987,0.0002,2,0.68792158,,
195,GaAlS2+SeGaAlS,0.952,Indirect,3.637,0.0043,0.2764,0.7376,0,2,-0.14866528,,
196,GaAlS2+SeGaAlS-1,1.453,Indirect,3.639,0.0126,0.2704,0.7367,0.0009,2,-0.16686546,,
197,GaAlS2+SeGaAlS-2,1.628,Indirect,3.638,0.135,0.1388,0.7374,0,5,-0.14297208,,
198,GaAlS2+SeGaAlS-3,1.506,Indirect,3.637,0.2646,0.0124,0.095,0.4856,2,-0.15968513,,
199,GaAlS2+SeGaAlTe,0.332,Indirect,3.775,0.0056,0.2599,0.5752,0.0002,2,0.12192326,,
200,GaAlS2+SeGaAlTe-1,0.807,Indirect,3.773,0.023,0.2495,0.5758,0,2,0.12623117,,
201,GaAlS2+SeGaAlTe-2,0.965,Indirect,3.77,0.016,0.2451,0.576,0.0002,2,0.12998383,,
202,GaAlS2+SeGaAlTe-3,1.285,Indirect,3.775,0.3109,0.0512,0.5755,0,1,0.13315199,,
203,GaAlS2+SeInAlS,0.263,Indirect,3.693,0.0063,0.2681,0.7433,0,2,-0.06287027,,
204,GaAlS2+SeInAlS-1,0.934,Indirect,3.694,0.2739,0.0286,0.7433,0.0008,1,-0.08714347,,
205,GaAlS2+SeInAlS-2,0.796,Indirect,3.689,0.1882,0.1007,0.7446,0,5,-0.05900973,,
206,GaAlS2+SeInAlS-3,0.927,Indirect,3.691,0.3019,0.004,0.7436,0.0003,1,-0.07939597,,
207,GaAlS2+SeInAlTe,0.414,Direct,3.837,0.0462,0.5272,0.5995,0.0002,2,0.35015322,,
208,GaAlS2+SeInAlTe-1,1.124,Direct,3.837,0.0405,0.5283,0.5806,0.0001,2,0.34854027,,
209,GaAlS2+SeInAlTe-2,1.043,Direct,3.833,0.0249,0.5325,0.6152,0.0001,2,0.35657369,,
210,GaAlS2+SeInAlTe-3,1.115,Indirect,3.835,0.3008,0.0031,0.044,0.5435,2,0.35664052,,
